URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/observation-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.403",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservationacidfast,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationurine,StructureDefinition/SmokingStatusObservation,StructureDefinition/ImmunizationObservation,StructureDefinition/VitalSignsBP,StructureDefinition/LabObservationMicrobiologyVirologyObservation,StructureDefinition/LabObservationMicrobiologyObservation,StructureDefinition/DecisionPrecisionPlusObservationsocial,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservationmycobact,StructureDefinition/LabObservationMicrobiologyBacteriologyObservation,StructureDefinition/DecisionPrecisionPlusObservationsmoking,StructureDefinition/DecisionPrecisionPlusObservationsituation,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationbacteria,StructureDefinition/VitalSigns,StructureDefinition/LabObservationChemhemtoxriaserObservation,StructureDefinition/ObservationImagingResultRadNuc,StructureDefinition/ObservationImagingResultEcho,StructureDefinition/LabObservationMicrobiologyVirologyObservationvirus,StructureDefinition/DecisionPrecisionPlusabstract,StructureDefinition/LabObservationMicrobiologyParasitologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationgramstain,StructureDefinition/VitalSignsSpO2,StructureDefinition/LabObservationObservation,StructureDefinition/ObservationImagingResultEKG,StructureDefinition/ObservationEXAM,StructureDefinition/LabObservationMicrobiologyMycologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationsputum,StructureDefinition/ObservationImagingResult,StructureDefinition/LabObservationMicrobiologyMycologyObservationfungus","THO"
http://hl7.org/fhir/ValueSet/observation-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.396",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservationacidfast,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationurine,StructureDefinition/SmokingStatusObservation,StructureDefinition/ImmunizationObservation,StructureDefinition/LabObservationMicrobiologyVirologyObservation,StructureDefinition/LabObservationMicrobiologyObservation,StructureDefinition/DecisionPrecisionPlusObservationsocial,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservationmycobact,StructureDefinition/LabObservationMicrobiologyBacteriologyObservation,StructureDefinition/DecisionPrecisionPlusObservationsmoking,StructureDefinition/DecisionPrecisionPlusObservationsituation,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationbacteria,StructureDefinition/LabObservationChemhemtoxriaserObservation,StructureDefinition/ObservationImagingResultRadNuc,StructureDefinition/ObservationImagingResultEcho,StructureDefinition/LabObservationMicrobiologyVirologyObservationvirus,StructureDefinition/DecisionPrecisionPlusabstract,StructureDefinition/LabObservationMicrobiologyParasitologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationgramstain,StructureDefinition/LabObservationObservation,StructureDefinition/ObservationImagingResultEKG,StructureDefinition/ObservationEXAM,StructureDefinition/LabObservationMicrobiologyMycologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationsputum,StructureDefinition/ObservationImagingResult,StructureDefinition/LabObservationMicrobiologyMycologyObservationfungus","LOINC"
http://hl7.org/fhir/ValueSet/observation-interpretation,4.0.1,active,"2.16.840.1.113883.4.642.3.399",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservationacidfast,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationurine,StructureDefinition/SmokingStatusObservation,StructureDefinition/ImmunizationObservation,StructureDefinition/VitalSignsBP,StructureDefinition/LabObservationMicrobiologyVirologyObservation,StructureDefinition/LabObservationMicrobiologyObservation,StructureDefinition/DecisionPrecisionPlusObservationsocial,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservationmycobact,StructureDefinition/LabObservationMicrobiologyBacteriologyObservation,StructureDefinition/DecisionPrecisionPlusObservationsmoking,StructureDefinition/DecisionPrecisionPlusObservationsituation,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationbacteria,StructureDefinition/VitalSigns,StructureDefinition/LabObservationChemhemtoxriaserObservation,StructureDefinition/ObservationImagingResultRadNuc,StructureDefinition/ObservationImagingResultEcho,StructureDefinition/LabObservationMicrobiologyVirologyObservationvirus,StructureDefinition/DecisionPrecisionPlusabstract,StructureDefinition/LabObservationMicrobiologyParasitologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationgramstain,StructureDefinition/VitalSignsSpO2,StructureDefinition/LabObservationObservation,StructureDefinition/ObservationImagingResultEKG,StructureDefinition/ObservationEXAM,StructureDefinition/LabObservationMicrobiologyMycologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationsputum,StructureDefinition/ObservationImagingResult,StructureDefinition/LabObservationMicrobiologyMycologyObservationfungus","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-methods,4.0.1,draft,"2.16.840.1.113883.4.642.3.395",ObservationMethods,Observation Methods,"Observation Method codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 272394005 (Technique (qualifier value)) or is-a 129264002 (Action (qualifier value)) or is-a 386053000 (Evaluation procedure(procedure))","StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservationacidfast,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationurine,StructureDefinition/SmokingStatusObservation,StructureDefinition/ImmunizationObservation,StructureDefinition/LabObservationMicrobiologyVirologyObservation,StructureDefinition/LabObservationMicrobiologyObservation,StructureDefinition/DecisionPrecisionPlusObservationsocial,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservationmycobact,StructureDefinition/LabObservationMicrobiologyBacteriologyObservation,StructureDefinition/DecisionPrecisionPlusObservationsmoking,StructureDefinition/DecisionPrecisionPlusObservationsituation,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationbacteria,StructureDefinition/LabObservationChemhemtoxriaserObservation,StructureDefinition/ObservationImagingResultRadNuc,StructureDefinition/ObservationImagingResultEcho,StructureDefinition/LabObservationMicrobiologyVirologyObservationvirus,StructureDefinition/DecisionPrecisionPlusabstract,StructureDefinition/LabObservationMicrobiologyParasitologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationgramstain,StructureDefinition/LabObservationObservation,StructureDefinition/ObservationImagingResultEKG,StructureDefinition/ObservationEXAM,StructureDefinition/LabObservationMicrobiologyMycologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationsputum,StructureDefinition/ObservationImagingResult,StructureDefinition/LabObservationMicrobiologyMycologyObservationfungus","SCT"
http://hl7.org/fhir/ValueSet/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.3.400",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","StructureDefinition/DecisionPrecisionPlusabstract,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservationacidfast,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationgramstain,StructureDefinition/VitalSignsSpO2,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationurine,StructureDefinition/ImmunizationObservation,StructureDefinition/VitalSignsBP,StructureDefinition/LabObservationMicrobiologyObservation,StructureDefinition/LabObservationObservation,StructureDefinition/DecisionPrecisionPlusObservationsocial,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservationmycobact,StructureDefinition/ObservationEXAM,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationsputum,StructureDefinition/DecisionPrecisionPlusObservationsituation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationbacteria,StructureDefinition/ObservationImagingResult,StructureDefinition/VitalSigns,StructureDefinition/LabObservationMicrobiologyMycologyObservationfungus,StructureDefinition/LabObservationMicrobiologyVirologyObservationvirus","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/organization-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.414",OrganizationType,Organization type,"This example value set defines a set of codes that can be used to indicate a type of organization.","StructureDefinition/Organization","THO"
http://hl7.org/fhir/ValueSet/participant-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.152",ParticipantRoles,Participant Roles,"Roles of participants that may be included in a care team.  Defined as: Is a Person, Healthcare professional (occupation) or Healthcare related organization (qualifier value).","StructureDefinition/LungCancerScreeningDRNA,StructureDefinition/LungCancerScreeningCRNA","SCT"
http://hl7.org/fhir/ValueSet/participantrequired,4.0.1,draft,"2.16.840.1.113883.4.642.3.488",ParticipantRequired,ParticipantRequired,"Is the Participant required to attend the appointment.","StructureDefinition/Appointment","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/participationstatus,4.0.1,draft,"2.16.840.1.113883.4.642.3.486",ParticipationStatus,ParticipationStatus,"The Participation status of an appointment.","StructureDefinition/Appointment","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/patient-contactrelationship,4.0.1,active,"2.16.840.1.113883.4.642.3.1130",PatientContactRelationship,Patient Contact Relationship ,"The nature of the relationship between the patient and the contact person.","StructureDefinition/Patient,StructureDefinition/VAERSPatient,StructureDefinition/DebtPortalPatient","THO (V2)"
http://hl7.org/fhir/ValueSet/payment-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.641",PaymentTypeCodes,Payment Type Codes,"This value set includes sample Payment Type codes.","StructureDefinition/DebtPortalPaymentReconciliation","THO"
http://hl7.org/fhir/ValueSet/performer-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.433",ProcedurePerformerRoleCodes,Procedure Performer Role Codes,"This example value set defines the set of codes that can be used to indicate a role of a procedure performer.","StructureDefinition/ProcedureRadiology,StructureDefinition/ProcedureSurgeryProcedure,StructureDefinition/DebtPortalChargeItemcharges,StructureDefinition/MedicationRequestOutpatient,StructureDefinition/MedicationRequestNonVA,StructureDefinition/ProcedureOutpatient,StructureDefinition/MedicationRequestPending,StructureDefinition/MedicationRequestUnsigned,StructureDefinition/DebtPortalChargeItemremoved,StructureDefinition/DebtPortalChargeIteminterest,StructureDefinition/MedRefillRequestMHVTask","SCT"
http://hl7.org/fhir/ValueSet/practitioner-job-title,5.2.0,draft,"2.16.840.1.113883.4.642.3.3058",PractitionerJobTitle,practitioner job title,"This example value set defines a set of sample job titles.","StructureDefinition/PractitionerRole","hl7.fhir.uv.extensions.r4"
http://hl7.org/fhir/ValueSet/procedure-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.430",ProcedureCategoryCodes(SNOMEDCT),Procedure Category Codes (SNOMED CT),"Procedure Category code: A selection of relevant SNOMED CT codes.","StructureDefinition/ProcedureRadiology,StructureDefinition/ProcedureSurgeryProcedure,StructureDefinition/ProcedureOutpatient","SCT"
http://hl7.org/fhir/ValueSet/procedure-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.427",ProcedureCodes(SNOMEDCT),Procedure Codes (SNOMED CT),"Procedure Code: All SNOMED CT procedure codes.","StructureDefinition/LungCancerScreeningDRNA,StructureDefinition/LungCancerScreeningCRNA","SCT"
http://hl7.org/fhir/ValueSet/procedure-followup,4.0.1,draft,"2.16.840.1.113883.4.642.3.429",ProcedureFollowUpCodes(SNOMEDCT),Procedure Follow up Codes (SNOMED CT),"Procedure follow up codes: A selection of SNOMED CT codes relevant to procedure follow up.","StructureDefinition/ProcedureRadiology,StructureDefinition/ProcedureSurgeryProcedure,StructureDefinition/ProcedureOutpatient","SCT"
http://hl7.org/fhir/ValueSet/procedure-not-performed-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.431",ProcedureNotPerformedReason(SNOMED-CT),Procedure Not Performed Reason (SNOMED-CT),"Situation codes describing the reason that a procedure, which might otherwise be expected, was not performed, or a procedure that was started and was not completed. Consists of SNOMED CT codes, children of procedure contraindicated (183932001), procedure discontinued (416406003), procedure not done (416237000), procedure not indicated (428119001), procedure not offered (416064006), procedure not wanted (416432009), procedure refused (183944003), and procedure stopped (394908001).","StructureDefinition/ProcedureRadiology,StructureDefinition/ProcedureSurgeryProcedure,StructureDefinition/ProcedureOutpatient","SCT"
http://hl7.org/fhir/ValueSet/procedure-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.428",ProcedureOutcomeCodes(SNOMEDCT),Procedure Outcome Codes (SNOMED CT),"Procedure Outcome code: A selection of relevant SNOMED CT codes.","StructureDefinition/ProcedureRadiology,StructureDefinition/ProcedureSurgeryProcedure,StructureDefinition/ProcedureOutpatient","SCT"
http://hl7.org/fhir/ValueSet/procedure-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.432",ProcedureReasonCodes,Procedure Reason Codes,"This example value set defines the set of codes that can be used to indicate a reason for a procedure.","StructureDefinition/ProcedureRadiology,StructureDefinition/ProcedureSurgeryProcedure,StructureDefinition/LungCancerScreeningDRNA,StructureDefinition/LungCancerScreeningCRNA,StructureDefinition/ProcedureOutpatient","SCT"
http://hl7.org/fhir/ValueSet/provenance-activity-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.438",ProvenanceActivityType,Provenance activity type,"This value set contains representative Activity Type codes, which includes codes from the HL7 DocumentCompletion, ActStatus, and DataOperations code system, W3C PROV-DM and PROV-N concepts and display names, several HL7 Lifecycle Event codes for which there are agreed upon definitions, and non-duplicated codes from the HL7 Security and Privacy Ontology Operations codes.","StructureDefinition/MedRefillRequestMHVProvenancecreate,StructureDefinition/MedRefillRequestMHVProvenancereview","THO (V3)"
http://hl7.org/fhir/ValueSet/provenance-agent-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.1003",ProvenanceParticipantType,Provenance participant type,"The type of participation a provenance participant.","StructureDefinition/MedRefillRequestMHVProvenancecreate,StructureDefinition/MedRefillRequestMHVProvenancereview","THO"
http://hl7.org/fhir/ValueSet/provenance-entity-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.436",ProvenanceEntityRole,ProvenanceEntityRole,"How an entity was used in an activity.","StructureDefinition/MedRefillRequestMHVProvenancecreate,StructureDefinition/MedRefillRequestMHVProvenancereview","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/quantity-comparator,4.0.1,active,"2.16.840.1.113883.4.642.3.59",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","StructureDefinition/MedicationRequestOutpatient,StructureDefinition/VitalSignsSpO2,StructureDefinition/MedicationDispenseRefill,StructureDefinition/VitalSignsBP,StructureDefinition/MedicationRequestNonVA,StructureDefinition/MedicationDispensePartial,StructureDefinition/DecisionPrecisionPlusObservationsocial,StructureDefinition/VitalSigns,StructureDefinition/LabObservationChemhemtoxriaserObservation,StructureDefinition/ObservationEXAM,StructureDefinition/ImmunizationImmunization,StructureDefinition/MedicationDispenseOriginal","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/referencerange-appliesto,4.0.1,draft,"2.16.840.1.113883.4.642.3.407",ObservationReferenceRangeAppliesToCodes,Observation Reference Range Applies To Codes,"This value set defines a set of codes that can be used to indicate the particular target population the reference range applies to.","StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservationacidfast,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationurine,StructureDefinition/SmokingStatusObservation,StructureDefinition/ImmunizationObservation,StructureDefinition/VitalSignsBP,StructureDefinition/LabObservationMicrobiologyVirologyObservation,StructureDefinition/LabObservationMicrobiologyObservation,StructureDefinition/DecisionPrecisionPlusObservationsocial,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservationmycobact,StructureDefinition/LabObservationMicrobiologyBacteriologyObservation,StructureDefinition/DecisionPrecisionPlusObservationsmoking,StructureDefinition/DecisionPrecisionPlusObservationsituation,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationbacteria,StructureDefinition/VitalSigns,StructureDefinition/LabObservationChemhemtoxriaserObservation,StructureDefinition/ObservationImagingResultRadNuc,StructureDefinition/ObservationImagingResultEcho,StructureDefinition/LabObservationMicrobiologyVirologyObservationvirus,StructureDefinition/DecisionPrecisionPlusabstract,StructureDefinition/LabObservationMicrobiologyParasitologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationgramstain,StructureDefinition/VitalSignsSpO2,StructureDefinition/LabObservationObservation,StructureDefinition/ObservationImagingResultEKG,StructureDefinition/ObservationEXAM,StructureDefinition/LabObservationMicrobiologyMycologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationsputum,StructureDefinition/ObservationImagingResult,StructureDefinition/LabObservationMicrobiologyMycologyObservationfungus","SCT"
http://hl7.org/fhir/ValueSet/referencerange-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.3.397",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservationacidfast,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationurine,StructureDefinition/SmokingStatusObservation,StructureDefinition/ImmunizationObservation,StructureDefinition/VitalSignsBP,StructureDefinition/LabObservationMicrobiologyVirologyObservation,StructureDefinition/LabObservationMicrobiologyObservation,StructureDefinition/DecisionPrecisionPlusObservationsocial,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservationmycobact,StructureDefinition/LabObservationMicrobiologyBacteriologyObservation,StructureDefinition/DecisionPrecisionPlusObservationsmoking,StructureDefinition/DecisionPrecisionPlusObservationsituation,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationbacteria,StructureDefinition/VitalSigns,StructureDefinition/LabObservationChemhemtoxriaserObservation,StructureDefinition/ObservationImagingResultRadNuc,StructureDefinition/ObservationImagingResultEcho,StructureDefinition/LabObservationMicrobiologyVirologyObservationvirus,StructureDefinition/DecisionPrecisionPlusabstract,StructureDefinition/LabObservationMicrobiologyParasitologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationgramstain,StructureDefinition/VitalSignsSpO2,StructureDefinition/LabObservationObservation,StructureDefinition/ObservationImagingResultEKG,StructureDefinition/ObservationEXAM,StructureDefinition/LabObservationMicrobiologyMycologyObservation,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationsputum,StructureDefinition/ObservationImagingResult,StructureDefinition/LabObservationMicrobiologyMycologyObservationfungus","THO"
http://hl7.org/fhir/ValueSet/remittance-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.13",ClaimProcessingCodes,Claim Processing Codes,"This value set includes Claim Processing Outcome codes.","StructureDefinition/DebtPortalPaymentReconciliation","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.3.113",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","StructureDefinition/LungCancerScreeningDRNA,StructureDefinition/LungCancerScreeningCRNA","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.3.115",RequestPriority,Request priority,"The clinical priority of a diagnostic order.","StructureDefinition/LungCancerScreeningDRNA,StructureDefinition/LungCancerScreeningCRNA,StructureDefinition/MedicationRequestOutpatient,StructureDefinition/MedicationRequestNonVA,StructureDefinition/MedicationRequestPending,StructureDefinition/MedicationRequestUnsigned,StructureDefinition/MedRefillRequestMHVTask","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/request-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.111",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","StructureDefinition/LungCancerScreeningDRNA,StructureDefinition/LungCancerScreeningCRNA","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/resource-types,4.0.1,active,"2.16.840.1.113883.4.642.3.27",ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","StructureDefinition/EncounterInpatientEncounter,StructureDefinition/VAERSImmunizationvac1,StructureDefinition/MedicationDispenseRefill,StructureDefinition/VAERSImmunizationvac3,StructureDefinition/VAERSImmunizationvac2,StructureDefinition/VAERSImmunizationpvac1,StructureDefinition/VAERSImmunizationpvac2,StructureDefinition/Patient,StructureDefinition/VAERSImmunizationpvac3,StructureDefinition/MedicationRequestNonVA,StructureDefinition/MedicationDispensePartial,StructureDefinition/MedRefillRequestMHVProvenancecreate,StructureDefinition/VAERSImmunizationvac4,StructureDefinition/Location,StructureDefinition/MedRefillRequestMHVProvenancereview,StructureDefinition/VAERSImmunizationpvac4,StructureDefinition/MedicationDispenseOriginal","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/route-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.98",SNOMEDCTRouteCodes,SNOMED CT Route Codes,"This value set includes all Route codes from SNOMED CT - provided as an exemplar.","StructureDefinition/AllergyIntolerance,StructureDefinition/MedicationRequestOutpatient,StructureDefinition/MedicationDispenseRefill,StructureDefinition/MedicationRequestNonVA,StructureDefinition/MedicationDispensePartial,StructureDefinition/MedicationRequestPending,StructureDefinition/MedicationRequestUnsigned,StructureDefinition/MedicationDispenseOriginal","SCT"
http://hl7.org/fhir/ValueSet/search-entry-mode,4.0.1,active,"2.16.840.1.113883.4.642.3.622",SearchEntryMode,SearchEntryMode,"Why an entry is in the result set - whether it's included as a match or because of an _include requirement, or to convey information or warning information about the search process.","StructureDefinition/VAERSBundle","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/security-labels,4.0.1,active,"2.16.840.1.113883.4.642.3.47",All Security Labels,SecurityLabels,"A single value set for all security labels defined by FHIR.","StructureDefinition/DocumentReferenceDocumentReference",
http://hl7.org/fhir/ValueSet/security-role-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.978",SecurityRoleType,SecurityRoleType,"This example FHIR value set is comprised of example Actor Type codes, which can be used to value FHIR agents, actors, and other role         elements such as those specified in financial transactions. The FHIR Actor value set is based on    DICOM Audit Message, C402;   ASTM Standard, E1762-95 [2013]; selected codes and          derived actor roles from HL7 RoleClass OID 2.16.840.1.113883.5.110;    HL7 Role Code 2.16.840.1.113883.5.111, including AgentRoleType;          HL7 ParticipationType OID: 2.16.840.1.113883.5.90; and    HL7 ParticipationFunction codes OID: 2.16.840.1.113883.5.88.           This value set includes, by reference, role codes from external code systems: NUCC Health Care Provider Taxonomy OID: 2.16.840.1.113883.6.101;          North American Industry Classification System [NAICS]OID: 2.16.840.1.113883.6.85; IndustryClassificationSystem 2.16.840.1.113883.1.11.16039;          and US Census Occupation Code OID: 2.16.840.1.113883.6.243 for relevant recipient or custodian codes not included in this value set.            If no source is indicated in the definition comments, then these are example FHIR codes.          It can be extended with appropriate roles described by SNOMED as well as those described in the HL7 Role Based Access Control Catalog and the          HL7 Healthcare (Security and Privacy) Access Control Catalog.            In Role-Based Access Control (RBAC), permissions are operations on an object that a user wishes to access. Permissions are grouped into roles.          A role characterizes the functions a user is allowed to perform. Roles are assigned to users. If the user's role has the appropriate permissions          to access an object, then that user is granted access to the object. FHIR readily enables RBAC, as FHIR Resources are object types and the CRUDE          events (the FHIR equivalent to permissions in the RBAC scheme) are operations on those objects.          In Attribute-Based Access Control (ABAC), a user requests to perform operations on objects. That user's access request is granted or denied          based on a set of access control policies that are specified in terms of attributes and conditions. FHIR readily enables ABAC, as instances of          a Resource in FHIR (again, Resources are object types) can have attributes associated with them. These attributes include security tags,          environment conditions, and a host of user and object characteristics, which are the same attributes as those used in ABAC. Attributes help          define the access control policies that determine the operations a user may perform on a Resource (in FHIR) or object (in ABAC). For example,          a tag (or attribute) may specify that the identified Resource (object) is not to be further disclosed without explicit consent from the patient.","StructureDefinition/MedRefillRequestMHVProvenancecreate,StructureDefinition/MedRefillRequestMHVProvenancereview","THO (V3),THO,DICOM"
http://hl7.org/fhir/ValueSet/service-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.516",ServiceCategory,Service category,"This value set defines an example set of codes that can be used to classify groupings of service-types/specialties.","StructureDefinition/Appointment","THO"
http://hl7.org/fhir/ValueSet/service-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.518",ServiceType,Service type,"This value set defines an example set of codes of service-types.","StructureDefinition/EncounterInpatientEncounter,StructureDefinition/EncounterOutpatient,StructureDefinition/Appointment","THO"
http://hl7.org/fhir/ValueSet/servicerequest-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.434",ServiceRequestCategoryCodes,Service Request Category Codes,"An example value set of SNOMED CT concepts that can classify a requested service","StructureDefinition/LungCancerScreeningDRNA,StructureDefinition/LungCancerScreeningCRNA","SCT"
http://hl7.org/fhir/ValueSet/servicerequest-orderdetail,4.0.1,draft,"2.16.840.1.113883.4.642.3.435",ServiceRequestOrderDetailsCodes,Service Request Order Details Codes,"An example value set of Codified order entry details concepts.  These concepts only make sense in the context of what is being ordered.  This example is for a patient ventilation order","StructureDefinition/LungCancerScreeningDRNA,StructureDefinition/LungCancerScreeningCRNA","SCT"
http://hl7.org/fhir/ValueSet/specimen-collection-method,4.0.1,draft,"2.16.840.1.113883.4.642.3.468",FHIRSpecimenCollectionMethod,FHIR Specimen Collection Method," This example value set defines a set of codes that can be used to indicate the method by which a specimen was collected.","StructureDefinition/DiagnosticReportNoteSurgicalPathologySpecimen,StructureDefinition/DiagnosticReportNoteCytopathologySpecimen,StructureDefinition/LabObservationMicrobiologyMycobacteriologySpecimen,StructureDefinition/LabObservationChemhemtoxriaserSpecimen,StructureDefinition/LabObservationMicrobiologyParasitologySpecimen,StructureDefinition/DiagnosticReportNoteElectronMicroscopySpecimen,StructureDefinition/LabObservationMicrobiologyVirologySpecimen,StructureDefinition/LabObservationMicrobiologySpecimen,StructureDefinition/LabObservationMicrobiologyMycologySpecimen,StructureDefinition/LabObservationMicrobiologyBacteriologySpecimen","SCT"
http://hl7.org/fhir/ValueSet/specimen-container-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.470",SpecimenContainerType,Specimen Container Type,"Checks on the patient prior specimen collection. All SNOMED CT concepts descendants of 706041008 |Device for body fluid and tissue collection/transfer/processing (physical object)|","StructureDefinition/DiagnosticReportNoteSurgicalPathologySpecimen,StructureDefinition/DiagnosticReportNoteCytopathologySpecimen,StructureDefinition/LabObservationMicrobiologyMycobacteriologySpecimen,StructureDefinition/LabObservationChemhemtoxriaserSpecimen,StructureDefinition/LabObservationMicrobiologyParasitologySpecimen,StructureDefinition/DiagnosticReportNoteElectronMicroscopySpecimen,StructureDefinition/LabObservationMicrobiologyVirologySpecimen,StructureDefinition/LabObservationMicrobiologySpecimen,StructureDefinition/LabObservationMicrobiologyMycologySpecimen,StructureDefinition/LabObservationMicrobiologyBacteriologySpecimen","SCT"
